Year,World Oil Prod Rate (mn barrels/yr)
1857,0
1858,0
1859,0.01
1860,0.51
1861,2.13
1862,3.09
1863,2.76
1864,2.3
1865,2.72
1866,3.9
1867,3.71
1868,3.99
1869,4.7
1870,5.8
1871,5.73
1872,6.88
1873,10.84
1874,11.93
1875,13.15
1876,11.05
1877,15.75
1878,18.42
1879,23.6
1880,30.02
1881,31.99
1882,35.87
1883,30.26
1884,35.97
1885,36.77
1886,47.24
1887,47.81
1888,52.17
1889,61.51
1890,76.63
1891,91.1
1892,88.74
1893,92.04
1894,89.34
1895,103.69
1896,114.2
1897,121.99
1898,124.98
1899,131.15
1900,149.14
1901,167.44
1902,181.81
1903,194.88
1904,217.95
1905,215.09
1906,213.26
1907,264.25
1908,285.29
1909,298.71
1910,327.76
1911,344.36
1912,352.44
1913,385.35
1914,407.54
1915,432.03
1916,457.5
1917,502.89
1918,503.52
1919,555.88
1920,688.88
1921,766
1922,858.9
1923,1015.74
1924,1014.32
1925,1067.93
1926,1096.82
1927,1262.58
1928,1324.77
1929,1485.87
1930,1411.9
1931,1373.66
1932,1310.3
1933,1441
1934,1521.47
1935,1654.95
1936,1791.54
1937,2039.23
1938,1988.04
1939,2086.16
1940,2149.82
1941,2220.66
1942,2093.1
1943,2256.64
1944,2592.29
1945,2594.7
1946,2745.43
1960,7650.4
1961,8186.95
1962,8876.8
1963,9537.45
1964,10351.4
1965,11059.5
1966,12019.45
1967,12910.05
1968,14103.6
1969,15216.85
1970,16749.85
1971,17709.8
1972,18666.1
1973,20323.2
1974,20337.8
1975,19282.95
1976,20929.1
1977,21794.15
1978,21958.4
1979,22874.55
1980,21754
1981,20469.2
1982,19520.2
1983,19439.9
1984,19888.85
1985,19702.7
1986,20523.95
1987,20684.55
1988,21440.1
1989,21848.9
1990,22108.05
1991,21976.65
1992,21976.65
1993,22133.6
1994,22235.8
1995,22713.95
1996,26163.2
1997,26975.33
1998,27523.56
1999,27222.8
2000,28281.66
2001,28292.61
2002,28053.17
2003,28116.3
2004,29318.81
2005,29658.23
2006,29805.51
2007,29759.51
