Date,Unit Sales (Thousands)
12.2016,78290
9.2016,45513
6.2016,40399
3.2016,51193
12.2015,74779
9.2015,48046
6.2015,47534
3.2015,61170
12.2014,74468
9.2014,39272
6.2014,35203
3.2014,43719
12.2013,51025
9.2013,33797
6.2013,31241
3.2013,37430
12.2012,47789
9.2012,26910
6.2012,26028
3.2012,35064
12.2011,37044
9.2011,17073
6.2011,20338
3.2011,18647
12.2010,16235
9.2010,14102
6.2010,8398
3.2010,8752
12.26.2009,8737
9..2009,7367
6.2009,5208
3.2009,3793
12.2008,4363
9.2008,6892
6.2008,717
3.2008,1703
12.2007,2315
9.2007,1119
6.2007,270
